procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 12862760 321880 2484156    0    0     0     0  114  108 19  0 81  0  0
 0  0      0 12862760 321880 2484156    0    0     0    16  189  135 41  0 59  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12862760 321880 2484156    0    0     0    24   96  113 13  0 85  2  0
 0  0      0 12862760 321880 2484160    0    0     0     0  237  135 57  0 43  0  0
 0  0      0 12862760 321880 2484160    0    0     0     0   59   94  5  0 95  0  0
 0  0      0 12865056 321880 2484160    0    0     0     0  209  131 45  1 54  0  0
 1  0      0 12865056 321880 2484160    0    0     0     0  154  130 32  0 68  0  0
 2  0      0 12865056 321880 2484160    0    0     0    24  188  136 40  0 59  1  0
 0  0      0 12864684 321880 2484160    0    0     0     0  150  137 30  0 70  0  0
 1  0      0 12865056 321880 2484160    0    0     0     0  205  138 41  2 57  0  0
 0  0      0 12864808 321880 2484164    0    0     0     0  245  156 59  0 41  0  0
 0  0      0 12864808 321880 2484164    0    0     0     4  180  155 40  0 60  0  0
 1  0      0 12864808 321880 2484164    0    0     0    24   99  107 17  0 80  3  0
 0  0      0 12864808 321880 2484164    0    0     0     0  154  110 34  0 66  0  0
 0  0      0 12864808 321880 2484164    0    0     0     0  160  120 35  0 65  0  0
 1  0      0 12865056 321880 2484168    0    0     0     0  242  138 58  1 41  0  0
 0  0      0 12865056 321880 2484168    0    0     0    16   95  129  6  0 94  0  0
 0  0      0 12867972 321880 2484168    0    0     0    44  246  159 56  0 44  0  0
 0  0      0 12867600 321880 2484168    0    0     0     0  135  114 24  0 76  0  0
 1  0      0 12867600 321880 2484172    0    0     0     0  186  129 43  0 57  0  0
 0  0      0 12867600 321880 2484172    0    0     0     0  154  121 33  0 67  0  0
 0  0      0 12867972 321880 2484172    0    0     0     0  145  127 25  1 74  0  0
 0  0      0 12867972 321880 2484176    0    0     0    24  164  127 35  0 65  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 12867972 321880 2484176    0    0     0    32  192  136 43  0 54  3  0
 1  0      0 12865552 321880 2484176    0    0     0     0  208  157 53  0 47  0  0
 0  0      0 12865552 321880 2484176    0    0     0     0  106  121 11  0 89  0  0
 0  0      0 12865552 321880 2484176    0    0     0     0  241  160 60  0 40  0  0
 0  0      0 12865552 321880 2484180    0    0     0     0  171  135 36  0 64  0  0
 2  0      0 12865552 321880 2484180    0    0     0    24  181  139 39  1 60  0  0
 1  0      0 12865552 321880 2484180    0    0     0     0  216  136 52  0 48  0  0
 1  0      0 12865552 321880 2484180    0    0     0     0  166  119 39  0 61  0  0
 2  0      0 12865552 321880 2484180    0    0     0     0  197  144 41  0 59  0  0
 0  0      0 12865428 321880 2484184    0    0     0    24  186  154 40  0 60  0  0
 2  0      0 12865428 321880 2484192    0    0     0    24  235  145 55  0 45  0  0
 0  0      0 12865428 321880 2484192    0    0     0     0  257  163 66  0 34  0  0
